Question No,Question,Option A,Option B,Option C,Option D,Correct Answer
1,"If the cost price of 29 identical items is equal to the selling price of 9 items, what is the profit percentage?",222%,247%,213%,200%,222%
2,A train running at 98 km/h crosses a pole in 27 seconds. What is the length of the train?,735.00 m,882.00 m,714.00 m,661.50 m,735.00 m
3,"Find the next number in the series: 1, 6, 15, 28, 45, ?",66,61,56,130,66
4,"The average of 45 numbers is 64. If two numbers 52 and 12 are removed, what is the new average?",63.60,67.60,68.60,61.60,63.60
5,Simple interest on Rs. 5000 at 10% per annum for 5 years is:,2500,2400,2600,2750.0,2500
6,A man covers a distance at 43 km/h and returns at 36 km/h. Find his average speed for the whole journey.,39.86 km/h,43.85 km/h,35.88 km/h,41.23 km/h,39.86 km/h
7,"If 22 men can complete a work in 57 days, how many men are required to complete it in 21 days?",60,58,62,65,60
8,What is the HCF of 267 and 28 ?,1,7,2,133,1
9,What is the LCM of 43 and 7?,301,291,311,150,301
10,The price of an item changes from Rs. 377 by 5%. What is the percentage change?,5%,2%,10%,7%,5%
11,A can do a job in 4 days and B can do it in 10 days. How many days will they take together?,2.86 days,4.86 days,3.50 days,2.00 days,2.86 days
12,"If A:B = 6:5 and B:C = 7:6, what is A:C (as a decimal)?",1.20,0.86,1.05,1.40,1.20
13,Compound interest on Rs. 8000 at 10% per annum for 4 years (compounded annually) is:,4648,4492,4760,4320,4648
14,A person travels 200 km at 80 km/h. How long does he take?,2 hours,3 hours,1 hours,2.5 hours,2 hours
15,The average age of three persons is 38 years. One of them aged 58 years is replaced by a person and the average becomes 40 years. What is the age of the new person?,46,43,51,49,46
16,"A mixture contains milk and water in the ratio 2:6. If 6 litres of milk are added to the mixture, what is the new ratio of milk to water?",8:6,6:7,9:6,7:6,8:6
17,"If the cost price of 24 identical items is equal to the selling price of 11 items, what is the profit percentage?",118%,133%,103%,96%,118%
18,A train running at 81 km/h crosses a pole in 18 seconds. What is the length of the train?,405.00 m,486.00 m,360.00 m,333.00 m,405.00 m
19,"Find the next number in the series: 7, 14, 28, 56, 112, ?",224,210,218,200,224
20,"The average of 27 numbers is 26. If two numbers 41 and 31 are removed, what is the new average?",25.07,23.07,24.07,27.07,25.07
21,Simple interest on Rs. 3000 at 8% per annum for 1 years is:,240,200,340,250.0,240
22,A man covers a distance at 80 km/h and returns at 94 km/h. Find his average speed for the whole journey.,86.40 km/h,85.60 km/h,90.00 km/h,88.00 km/h,86.40 km/h
23,"If 10 men can complete a work in 14 days, how many men are required to complete it in 6 days?",24,22,20,26,24
24,What is the HCF of 292 and 204 ?,4,2,6,8,4
25,What is the LCM of 11 and 13?,143,133,150,136,143
26,The price of an item changes from Rs. 286 by 18%. What is the percentage change?,18%,15%,20%,12%,18%
27,A can do a job in 10 days and B can do it in 13 days. How many days will they take together?,5.62 days,8.62 days,6.50 days,4.00 days,5.62 days
28,"If A:B = 8:3 and B:C = 5:4, what is A:C (as a decimal)?",10.67,11.00,9.33,8.00,10.67
29,Compound interest on Rs. 2000 at 6% per annum for 1 years (compounded annually) is:,120,110,130,140,120
